Type,Mean_income,Method,Group,Variable_name,Year,Gini
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1980,NA
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1981,NA
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1982,NA
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1983,NA
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1984,NA
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1985,NA
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1986,NA
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1987,NA
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1988,66.7862607950771
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1989,66.9127113205817
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1990,66.947773440669
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1991,66.8343861650273
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1992,66.6699951344856
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1993,66.4270673902022
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1994,66.3042178554289
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1995,66.0002896121437
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1996,65.6651515311703
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1997,65.5991653235135
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1998,65.5987114750426
NET,GDPPC,LD,W145,GINI_NET_LD_W145,1999,65.4897822049351
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2000,65.4611731938122
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2001,65.1281957645431
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2002,64.7843285230127
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2003,64.3119694454824
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2004,63.9056022871768
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2005,63.3146668804574
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2006,62.6981257358639
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2007,61.9311723179591
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2008,61.3293410143895
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2009,60.1720045274376
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2010,59.6581251173689
NET,GDPPC,LD,W145,GINI_NET_LD_W145,2011,59.2636838639044
